dataset,model,size,variant,seed,pearson_r,rel_diff_pct,scale_ratio,seg_ari,ari_ground_a,ari_ground_b
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,48,0.9993239966856944,20.495351377831042,1.2049535137783105,0.7137832172886501,0.1489226300029576,0.1508033023918181
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,49,0.9991688065506664,20.266997144198072,1.2026699714419806,0.8935818238927861,0.14754444770542138,0.15278532625451627
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,50,0.9989525980804601,20.232143028680998,1.2023214302868097,0.5924030830719732,0.16263998490693696,0.19170634612719178
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,51,0.9993033192166512,20.464374591383937,1.2046437459138393,0.7257091589834322,0.15467501462402605,0.1397370321492809
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,52,0.9991547788267565,20.41210839290703,1.2041210839290706,0.8601401945127141,0.16963092707808575,0.160465106804753
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,53,0.9992593218876651,20.52316714304008,1.205231671430401,0.9708403486828496,0.15040468868777207,0.15040468868777207
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,54,0.999284072574649,20.46536845243533,1.2046536845243534,0.9230706857756786,0.12294335288423419,0.1252891845377186
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,55,0.9992830046287738,20.42573171252708,1.2042573171252708,0.5568398989900384,0.17110346783494218,0.1570922490927545
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,56,0.9989548830144623,20.27995041451673,1.2027995041451678,0.4967115881871509,0.16556606272570082,0.20107757148248265
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,57,0.9990117716627218,20.301118932501083,1.2030111893250108,0.7371660482251629,0.19059959951824013,0.17574135962789247
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,58,0.9991584554411378,20.355940068107035,1.2035594006810706,0.8065891478001957,0.17708996844811214,0.1843240960503164
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,59,0.9992277923502909,20.38908915065227,1.2038908915065225,0.8577476261542212,0.19097336577020332,0.21816242540433187
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,60,0.9991584554411379,20.35594006810703,1.20355940068107,0.843421251238704,0.18629645262082123,0.1843240960503164
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,61,0.9992277923502912,20.389089150652275,1.2038908915065225,0.8577476261542212,0.19097336577020332,0.21816242540433187
